Symbol,Index Membership
CREDITACC.NS,"Nifty 500, Nifty Smallcap 250"
CRISIL.NS,"Nifty 500, Nifty Midcap 150, Nifty Midcap150 Quality 50"
CRIZAC.NS,"Nifty India Internet, Nifty Microcap 250"
CROMPTON.NS,"Nifty 500, Nifty Consumer Durables, Nifty Housing, Nifty India Manufacturing, Nifty Smallcap 250"
CSBBANK.NS,Nifty Microcap 250
CUB.NS,"Nifty 500, Nifty Housing, Nifty Smallcap 250"
CUMMINSIND.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Alpha 50, Nifty Dividend Opportunities 50, Nifty India Manufacturing, Nifty Infrastructure, Nifty Midcap150 Momentum 50, Nifty Midcap150 Quality 50, Nifty Next 50, Nifty200 Momentum 30, Nifty200 Quality 30"
CUPID.NS,Nifty Microcap 250
CYIENT.NS,"Nifty 500, Nifty India Digital, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
DABUR.NS,"Nifty 200, Nifty 500, Nifty Fmcg, Nifty Low Volatility 50, Nifty Midcap 150, Nifty Non-Cyclical Consumer"
DALBHARAT.NS,"Nifty 500, Nifty Cement, Nifty Housing, Nifty Midcap 150, Nifty Midcap150 Momentum 50"
DATAMATICS.NS,Nifty Microcap 250
DATAPATTNS.NS,"Nifty 500, Nifty India Defence, Nifty Smallcap 250"
DBCORP.NS,Nifty Media
DBL.NS,Nifty Microcap 250
DBREALTY.NS,Nifty Microcap 250
DCBBANK.NS,Nifty Microcap 250
DCMSHRIRAM.NS,"Nifty 500, Nifty Smallcap 250"
DEEPAKFERT.NS,"Nifty 500, Nifty Smallcap 250"
DEEPAKNTR.NS,"Nifty 500, Nifty Chemicals, Nifty Smallcap 250"
DELHIVERY.NS,"Nifty 500, Nifty Alpha 50, Nifty Smallcap 250, Nifty Transportation & Logistics"
DEVYANI.NS,"Nifty 500, Nifty Smallcap 250"
DIACABS.NS,Nifty Microcap 250
DIVISLAB.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty Healthcare Index, Nifty India Manufacturing, Nifty Low Volatility 50, Nifty Next 50, Nifty Pharma"
DIXON.NS,"Nifty 200, Nifty 500, Nifty Consumer Durables, Nifty Housing, Nifty India Consumption, Nifty India Manufacturing, Nifty Midcap 150, Nifty Midcap150 Quality 50, Nifty Non-Cyclical Consumer, Nifty200 Quality 30"
DLF.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty High Beta 50, Nifty Housing, Nifty India Consumption, Nifty Infrastructure, Nifty Next 50, Nifty Realty, Nifty Reits & Realty"
DMART.NS,"Nifty 100, Nifty 200, Nifty 500, Nifty India Consumption, Nifty Low Volatility 50, Nifty Next 50, Nifty Non-Cyclical Consumer"
DOMS.NS,"Nifty 500, Nifty Smallcap 250"
DRREDDY.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha Quality Value Low-Volatility 30, Nifty Healthcare Index, Nifty India Manufacturing, Nifty Low Volatility 50, Nifty Pharma, Nifty100 Low Volatility 30"
DUMMYALCAR.NS,Nifty Microcap 250
DYNAMATECH.NS,"Nifty India Defence, Nifty Microcap 250"
ECLERX.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
EDELWEISS.NS,Nifty Microcap 250
EICHERMOT.NS,"Nifty 100, Nifty 200, Nifty 50, Nifty 500, Nifty Alpha 50, Nifty Alpha Quality Value Low-Volatility 30, Nifty Auto, Nifty Ev & New Age Automotive, Nifty India Consumption, Nifty India Manufacturing, Nifty Transportation & Logistics, Nifty200 Momentum 30"
EIDPARRY.NS,"Nifty 500, Nifty Chemicals, Nifty Smallcap 250"
EIEL.NS,Nifty Microcap 250
EIHOTEL.NS,"Nifty 500, Nifty Smallcap 250"
ELECON.NS,"Nifty 500, Nifty Smallcap 250"
ELECTCAST.NS,Nifty Microcap 250
ELGIEQUIP.NS,"Nifty 500, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
ELLEN.NS,Nifty Microcap 250
EMAMILTD.NS,"Nifty 500, Nifty Fmcg, Nifty Smallcap 250, Nifty Smallcap250 Quality 50"
EMBASSY.NS,Nifty Reits & Realty
EMBDL.NS,"Nifty Microcap 250, Nifty Reits & Realty"
EMCURE.NS,"Nifty 500, Nifty Smallcap 250"
EMIL.NS,Nifty Microcap 250
EMMVEE.NS,"Nifty 500, Nifty Smallcap 250"
ENDURANCE.NS,"Nifty 500, Nifty Midcap 150"
