Symbol,Name,Sector,Industry,Market Cap (Cr),Cap Category,Current Price,Day Change %,EMA 50,EMA 200,RSI 14,MACD Signal,Supertrend,ROC 1M %,ROC 3M %,ROC 6M %,ROC 12M %,Vol ROC 1M %,Beta 1Y (Daily),Beta 5Y (Monthly),SD 1Y %,ATR % (14D),52W High,52W Low,% from 52W High,% from 52W Low,1Y Max Drawdown %,1Y CAGR %,3Y CAGR %,Market Regime,Drawdown Status,Days Since 52W High,Trend Consistency (12M),Momentum Acceleration,Momentum Quality,Vol Ratio (20D/60D),Vol Trend,EMA Cross,Days Since EMA Cross,RS vs Nifty 1M %,RS vs Nifty 3M %,RS vs Nifty 6M %,Up Capture Ratio,Down Capture Ratio,Capture Ratio
UNITDSPR.NS,UNITED SPIRITS LIMITED,Consumer Defensive,Beverages - Wineries & Distilleries,101246.98,Large,1391.9,0.69,1323.79,1361.71,63.5,Bullish,Bullish,7.06,5.54,2.88,-6.43,58.12,0.7679,0.217,23.43,2.64,1645.0,1210.8,-15.39,14.96,-23.5,-6.43,,Bull,Correcting,230,5.0,5.21,0.12,1.17,Rising,Death Cross,70,3.67,12.14,9.47,62.9,70.2,0.9
ASHOKLEY.NS,Ashok Leyland Limited,Industrials,Farm & Heavy Construction Machinery,99796.79,Large,169.9,-0.43,177.22,161.06,46.39,Bullish,Bullish,0.6,-9.62,27.17,58.99,51.62,1.5549,0.495,33.11,4.06,215.42,108.1,-21.13,57.17,-29.95,58.99,39.72,Bull,Damaged,40,9.0,3.81,0.82,1.33,Rising,Golden Cross,257,-2.79,-3.02,33.76,162.6,96.7,1.68
GMRAIRPORT.NS,GMR Airports Limited,Industrials,Airports & Air Services,99771.76,Large,94.49,-2.02,94.88,93.76,49.88,Bullish,Bullish,4.34,-5.73,4.81,9.2,29.92,1.4266,0.603,30.02,3.28,110.36,79.92,-14.38,18.23,-21.78,9.2,36.08,Bull,Correcting,105,7.0,6.25,0.16,1.06,Stable,Golden Cross,257,0.95,0.87,11.41,142.5,127.0,1.12
HEROMOTOCO.NS,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,99274.54,Large,4961.5,-1.4,5327.63,5218.08,39.42,Bearish,Bearish,-5.95,-12.22,-9.55,36.13,18.4,1.2242,0.638,27.83,3.29,6388.5,3725.0,-22.34,33.19,-20.35,36.13,34.55,Strong Bear,Damaged,100,7.0,-1.88,-0.34,1.09,Stable,Golden Cross,200,-9.34,-5.63,-2.96,143.0,99.4,1.44
RECLTD.NS,REC Limited,Financial Services,Credit Services,98482.57,Large,374.0,-0.65,348.94,360.51,63.36,Bullish,Bullish,13.16,3.28,3.21,-8.02,24.35,1.4687,0.328,28.35,3.16,443.2,304.05,-15.61,23.01,-27.34,-8.02,56.45,Bull,Correcting,262,5.0,12.07,0.11,0.98,Stable,Death Cross,322,9.77,9.87,9.81,144.4,152.2,0.95
MAXHEALTH.NS,Max Healthcare Institute Limited,Healthcare,Medical Care Facilities,97260.86,Large,999.4,-0.73,1003.57,1064.66,53.17,Bullish,Bullish,3.59,-1.4,-16.9,-7.73,-7.46,0.8543,0.154,26.71,2.57,1314.3,903.0,-23.96,10.68,-28.33,-7.73,30.67,Strong Bear,Damaged,210,6.0,4.06,-0.63,0.9,Stable,Death Cross,92,0.2,5.19,-10.31,98.0,105.3,0.93
JSWENERGY.NS,JSW Energy Limited,Utilities,Utilities - Independent Power Producers,95700.12,Large,544.95,-2.93,505.51,507.26,62.26,Bullish,Bullish,7.47,12.05,0.77,7.72,29.64,1.0649,-0.263,29.52,3.45,567.95,427.75,-4.05,27.4,-19.79,7.72,35.52,Strong Bull,Recovering,0,5.0,3.45,0.03,0.93,Stable,Death Cross,327,4.09,18.64,7.36,118.6,104.7,1.13
LLOYDSME.NS,Lloyds Metals and Energy Limited,Basic Materials,Steel,95387.05,Large,1695.6,-0.13,1380.87,1295.86,82.2,Bullish,Bullish,36.11,40.61,28.12,31.93,9.26,1.3434,0.003,37.59,2.99,1701.0,1042.9,-0.32,62.59,-30.88,31.93,,Strong Bull,At High,0,7.0,22.57,0.75,0.63,Falling,Golden Cross,10,32.72,47.2,34.72,169.5,126.2,1.34
WAAREEENER.NS,WAAREE ENERGIES LIMITED,Technology,Solar,95088.9,Large,3305.7,-3.14,3108.37,3005.06,57.05,Bearish,Bullish,4.42,29.12,-6.44,42.38,-33.62,1.0866,0.2676,47.06,3.5,3865.0,2403.0,-14.47,37.57,-35.28,42.38,,Bear,Correcting,160,6.0,-5.29,-0.14,0.58,Falling,Golden Cross,10,1.03,35.71,0.15,162.0,103.5,1.57
MANKIND.NS,Mankind Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,93604.69,Large,2267.4,-1.11,2122.98,2244.41,67.84,Bullish,Bullish,13.37,7.09,-8.45,-12.14,-17.69,0.7516,0.388,25.46,2.78,2716.5,1909.7,-16.53,18.73,-28.49,-12.14,,Bear,Correcting,202,4.0,11.01,-0.33,0.63,Falling,Death Cross,120,9.98,13.69,-1.85,69.2,83.0,0.83
ZYDUSLIFE.NS,Zydus Lifesciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,93318.14,Large,927.4,-2.0,909.16,927.29,55.15,Bullish,Bullish,4.14,5.25,-6.1,12.8,7.97,0.7388,0.392,20.28,2.45,1059.05,835.5,-12.43,11.0,-17.87,12.8,25.1,Bear,Correcting,155,6.0,2.39,-0.3,0.91,Stable,Death Cross,100,0.75,11.85,0.49,91.8,74.5,1.23
NTPCGREEN.NS,NTPC GREEN ENERGY LIMITED,Utilities,Utilities - Renewable,92950.84,Large,110.31,-3.06,98.88,98.63,64.78,Bullish,Bullish,9.11,19.71,10.3,1.9,-39.82,0.5757,1.1846,28.98,3.65,117.64,84.0,-6.23,31.32,-26.98,1.9,,Strong Bull,Correcting,236,5.0,2.54,0.36,1.0,Stable,Golden Cross,0,5.72,26.3,16.89,69.0,62.1,1.11
